interval,id,cell,entry,exit
4,10,1431,1211899642,1211899716
4,10,1429,1211899776,1211899776
4,10,1428,1211899803,1211899863
4,10,1388,1211899924,1211899924
4,10,1349,1211899985,1211899985
4,10,1309,1211900035,1211900035
4,10,1269,1211900095,1211900095
4,10,1267,1211900156,1211900156
4,10,1266,1211900216,1211900216
4,10,1265,1211900280,1211900280
4,10,1224,1211900341,1211900341
4,14,60,1211890742,1211890742
4,14,101,1211890808,1211890857
4,14,142,1211890921,1211890921
4,14,223,1211890977,1211890977
4,14,263,1211891038,1211891038
4,14,304,1211891077,1211891077
4,14,344,1211891137,1211891137
4,14,343,1211891197,1211891197
4,14,342,1211891257,1211891257
4,14,420,1211891317,1211891317
4,14,499,1211891377,1211891377
4,14,538,1211891401,1211891427
4,14,535,1211891487,1211891487
4,14,494,1211891553,1211891553
4,14,491,1211891615,1211891634
4,14,531,1211891676,1211891676
4,14,610,1211891751,1211891751
4,14,730,1211891797,1211891797
4,14,890,1211891857,1211891857
4,14,928,1211891917,1211891917
4,14,1008,1211891977,1211891977
4,14,1049,1211892037,1211892052
4,14,1089,1211892087,1211892107
4,14,1048,1211892184,1211892184
4,14,1046,1211892238,1211892238
4,14,1005,1211892332,1211892785
4,14,1006,1211892845,1211892845
4,14,1008,1211892905,1211892905
4,14,1051,1211892965,1211892965
4,14,1053,1211893026,1211893026
4,14,1055,1211893086,1211893086
4,14,1058,1211893146,1211893146
4,14,1100,1211893206,1211893206
4,14,1103,1211893267,1211893267
4,14,1105,1211893327,1211893327
4,14,1066,1211893388,1211893448
4,14,1067,1211893514,1211893514
4,14,1069,1211893569,1211893569
4,14,1070,1211893629,1211893629
4,14,1031,1211893690,1211893690
4,14,1072,1211893750,1211893750
4,14,1113,1211893810,1211893810
4,14,1195,1211893870,1211893870
4,14,1196,1211893930,1211894062
4,14,1116,1211894131,1211894131
4,14,1075,1211894189,1211894189
4,14,1114,1211894238,1211894238
4,14,1152,1211894299,1211894359
4,14,1153,1211894419,1211894484
4,14,1152,1211894539,1211894539
4,14,1151,1211894600,1211894600
4,14,1150,1211894660,1211894660
4,14,1148,1211894721,1211894721
4,14,1147,1211894757,1211894757
4,14,1146,1211894819,1211894819
4,14,1186,1211894877,1211894877
4,14,1226,1211894935,1211894935
4,14,1265,1211894995,1211894995
4,14,1264,1211895056,1211895299
4,14,1263,1211895339,1211895339
4,14,1303,1211895399,1211895399
4,14,1302,1211895459,1211895519
4,14,1342,1211895579,1211895579
4,14,1382,1211895640,1211895640
4,14,1302,1211895700,1211895700
4,14,1262,1211895785,1211895890
4,14,1304,1211895953,1211895953
4,14,1305,1211896009,1211896009
4,14,1306,1211896070,1211896070
4,14,1266,1211896129,1211896129
4,14,1307,1211896208,1211896208
4,14,1310,1211896269,1211896269
